"Score","Hero","Class","Type","Set","Name","Quality","Current Level","Max Level","Tower Health","Tower Damage","Tower Range","Tower Rate","Hero Health","Hero Damage","Hero Casting","Generic Resist","Poison Resist","Fire Resist","Lightning Resist"
"1537","Lenny","Summoner","Pet","Unknown","Unnamed Equipment","Godly","1","102","752","794","791","788","565","282","548","0","0","0","0"
"1477","Lenny","Summoner","Pet","Unknown","Unnamed Equipment","Godly","1","90","733","748","712","771","282","698","742","0","0","0","0"
"1155","ProtoGirl","Series EV","Equipment","Unknown","Unnamed Equipment","Ultimate","131","299","328","498","0","488","239","460","343","0","0","0","0"
"1098","ProtoGirl","Series EV","Secondary","Unknown","Unnamed Equipment","Ultimate","1","198","318","418","116","488","-183","0","229","0","0","0","0"
"1088","Lauma","Warden","Gloves","Pristine","Unnamed Equipment","Transcendent","205","206","353","420","320","287","0","271","310","11","12","10","-5"
"1064","Marcus","Hermit","Chest","Chain","Unnamed Equipment","Transcendent","244","248","308","420","382","294","38","0","0","2","14","0","-10"
"1063","Rosie","Adept","Helmet","Leather","Unnamed Equipment","Supreme","239","239","222","373","462","328","0","274","134","9","-17","-12","-10"
"1059","dps jester","Jester","Pet","Unknown","Unnamed Equipment","Godly","90","90","600","568","517","500","514","500","332","0","0","0","0"
"1007","Gwyndalen","Countess","Pet","Unknown","Unnamed Equipment","Godly","24","199","0","600","558","557","500","536","500","0","0","0","0"
"1004","Rufio","Ranger","Pet","Unknown","Unnamed Equipment","Godly","43","244","544","573","598","412","282","491","0","0","0","0","0"
"986","Marcus","Hermit","Pet","Unknown","Unnamed Equipment","Godly","1","90","321","558","404","558","500","458","440","0","0","0","0"
"929","Lauma","Warden","Pet","Unknown","Unnamed Equipment","Godly","123","217","486","500","470","500","398","466","0","0","0","0","0"
"928","ProtoGirl","Series EV","Pet","Unknown","Unnamed Equipment","Godly","52","90","565","537","177","500","529","412","575","0","0","0","0"
"927","ProtoGirl","Series EV","Helmet","Mail","Unnamed Equipment","Transcendent","200","201","318","420","125","285","0","0","36","14","10","15","9"
"894","Rosie","Adept","Boots","Leather","Unnamed Equipment","Transcendent","275","275","182","283","420","319","0","216","41","17","-14","2","-11"
"877","Lauma","Warden","Boots","Pristine","Unnamed Equipment","Transcendent","259","260","359","284","284","312","136","0","27","8","4","16","8"
"873","Gwyndalen","Countess","Helmet","Chain","Unnamed Equipment","Transcendent","211","211","181","397","291","204","140","8","0","9","-13","3","11"
"854","Valoria","Initiate","Weapon","Unknown","Unnamed Equipment","Transcendent","1","182","515","308","607","470","441","457","419","0","0","0","0"
"847","Marcus","Hermit","Gloves","Chain","Unnamed Equipment","Transcendent","190","191","171","420","344","45","130","121","258","7","10","-14","14"
"846","Athene","Guardian","Pet","Unknown","Unnamed Equipment","Godly","101","213","501","393","544","376","556","292","357","0","0","0","0"
"833","Marcus","Hermit","Helmet","Chain","Unnamed Equipment","Transcendent","253","254","214","420","236","135","-111","272","0","11","9","7","14"
"831","Valoria","Initiate","Boots","Mail","Unnamed Equipment","Ultimate","380","380","404","116","600","283","0","26","0","8","7","16","12"
"828","Rosie","Adept","Chest","Leather","Unnamed Equipment","Transcendent","232","232","211","230","420","303","252","0","45","1","8","14","13"
"827","Valoria","Initiate","Gloves","Mail","Unnamed Equipment","Transcendent","210","210","263","218","420","308","236","0","0","12","-3","-17","16"
"817","Rosie","Adept","Gloves","Leather","Unnamed Equipment","Transcendent","175","175","-59","420","209","263","207","244","0","9","-6","0","0"
"788","Athene","Guardian","Chest","Leather","Unnamed Equipment","Transcendent","199","199","276","266","420","117","185","-89","258","13","12","16","-16"
"786","Athene","Guardian","Equipment","Unknown","Unnamed Equipment","Supreme","1","191","0","469","407","0","-184","271","-160","0","0","0","0"
"781","ProtoGirl","Series EV","Gloves","Mail","Unnamed Equipment","Transcendent","221","221","114","392","142","230","206","197","0","-1","11","1","-2"
"780","Lauma","Warden","Equipment","Unknown","Unnamed Equipment","Ultimate","1","329","-161","401","-91","513","0","350","0","0","0","0","0"
"765","Lauma","Warden","Chest","Pristine","Unnamed Equipment","Transcendent","1","262","69","304","242","287","0","-114","78","-3","15","-3","-1"
"747","ProtoGirl","Series EV","Boots","Mail","Unnamed Equipment","Supreme","241","241","-74","471","279","0","57","289","197","-9","15","6","11"
"741","Marcus","Hermit","Boots","Chain","Unnamed Equipment","Transcendent","1","278","228","275","131","295","-92","127","161","8","1","-12","0"
"731","Athene","Guardian","Gloves","Leather","Unnamed Equipment","Transcendent","192","231","301","255","162","304","0","48","-57","-7","-14","7","-16"
"728","ProtoGirl","Series EV","Chest","Mail","Unnamed Equipment","Supreme","225","225","0","497","125","0","9","306","258","-14","1","3","-8"
"723","Lauma","Warden","Helmet","Pristine","Unnamed Equipment","Transcendent","1","251","145","309","54","313","0","0","145","1","-4","-12","11"
"719","Gwyndalen","Countess","Chest","Chain","Unnamed Equipment","Transcendent","1","173","0","298","120","318","-300","268","283","-1","4","-7","4"
"715","dps jester","Jester","Secondary","Unknown","Unnamed Equipment","Ultimate","281","282","-179","329","66","440","-65","335","0","0","0","0","0"
"698","Lenny","Summoner","Boots","Pristine","Unnamed Equipment","Transcendent","268","269","420","84","382","291","251","0","116","18","15","-11","-11"
"685","Lenny","Summoner","Gloves","Pristine","Unnamed Equipment","Transcendent","178","178","420","230","250","142","18","146","32","8","6","8","12"
"678","Gwyndalen","Countess","Boots","Chain","Unnamed Equipment","Transcendent","1","153","149","233","316","215","230","295","0","0","7","4","-17"
"670","Valoria","Initiate","Chest","Mail","Unnamed Equipment","Transcendent","208","208","359","290","420","-67","0","83","0","8","10","-9","8"
"659","tboost","Monk","Chest","Plate","Unnamed Equipment","Transcendent","214","215","-71","245","254","310","206","313","0","28","28","28","28"
"651","Gwyndalen","Countess","Gloves","Chain","Unnamed Equipment","Transcendent","1","231","58","329","103","216","155","0","0","-2","1","1","8"
"646","Valoria","Initiate","Pet","Unknown","Unnamed Equipment","Mythical","68","99","394","400","0","400","89","-105","371","0","0","0","0"
"622","Athene","Guardian","Boots","Leather","Unnamed Equipment","Transcendent","1","197","318","151","179","317","0","215","-105","-10","14","15","17"
"596","Valoria","Initiate","Helmet","Mail","Unnamed Equipment","Transcendent","270","270","341","0","420","302","-55","276","122","-9","16","17","-12"
"562","guardian summoner","Summoner","Helmet","Plate","Unnamed Equipment","Transcendent","147","148","326","232","225","26","-34","301","64","28","27","26","26"
"559","Rosie","Adept","Equipment","Unknown","Unnamed Equipment","Ult++","465","466","193","232","86","172","155","156","170","0","0","0","0"
"549","tboost","Monk","Pet","Unknown","Unnamed Equipment","Mythical","87","87","400","400","400","0","0","309","-105","0","0","0","0"
"534","guardian summoner","Summoner","Gloves","Plate","Unnamed Equipment","Transcendent","177","178","81","181","294","148","365","309","7","28","28","27","27"
"503","guardian summoner","Summoner","Chest","Plate","Unnamed Equipment","Transcendent","224","225","284","268","0","84","420","-68","0","30","29","28","28"
"499","dps jester","Jester","Helmet","Plate","Unnamed Equipment","Supreme","252","252","159","188","311","42","306","425","0","29","29","29","29"
"489","Lenny","Summoner","Chest","Pristine","Unnamed Equipment","Transcendent","248","248","420","0","289","234","0","159","57","6","0","-7","-16"
"446","dps jester","Jester","Gloves","Plate","Unnamed Equipment","Transcendent","310","310","59","142","35","263","0","409","170","31","31","30","30"
"427","tboost","Monk","Boots","Plate","Unnamed Equipment","Transcendent","223","268","0","191","319","-53","-90","301","312","29","29","29","29"
"424","Rosie","Adept","Pet","Unknown","Unnamed Equipment","Mythical","46","46","244","400","330","-152","-130","0","0","0","0","0","0"
"419","Rufio","Ranger","Chest","Pristine","Unnamed Equipment","Mythical","1","85","127","126","133","169","185","0","117","8","1","8","-16"
"402","dps jester","Jester","Boots","Plate","Unnamed Equipment","Transcendent","172","172","93","266","0","0","220","322","209","26","26","25","26"
"399","guardian summoner","Summoner","Boots","Plate","Unnamed Equipment","Transcendent","127","128","272","136","0","188","396","298","-82","27","26","26","25"
